Time,AveragePower,rn,ss,icsr,dsnw,ct_Ci,ct_Cc,ct_Cs,ct_Ac,ct_As,ct_Ns,ct_Sc,ct_St,ct_Cu,ct_Cb,ws,hm,dc10Tca,dc10LmcsCa,vs,ts,day_month_x,day_month_y,day_year_x,day_year_y,month_x,month_y,day__0,day__1,day__2,day__3,day__4,day__5,day__6,weekdays,weekend,wd_x,wd_y,power_yesterday,power_ema4,power_ema7,power_ema14
2023-06-07,1949.2661564797943,0.0,1.0,10.07,0.0,1,0,0,1,0,0,11,7,0,0,2.125,75.58333333333333,8.916666666666666,8.125,321.7083333333333,24.508333333333336,0.9945218953682732,0.10452846326765346,0.1202080448993527,0.9927487224577402,1.0,6.123233995736766e-17,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.15605284013127,-0.7152146298852186,1510.3320308558466,1818.2617842554998,1895.4147602096107,1934.1364693095122
2023-06-08,1875.6227687093049,0.599999999999992,0.9,10.19,0.0,2,0,0,4,5,3,13,6,0,1,2.370833333333333,78.95833333333333,8.25,6.041666666666667,176.70833333333334,23.495833333333334,0.9945218953682734,-0.10452846326765335,0.13727877211326478,0.9905324521322229,1.0,6.123233995736766e-17,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-0.4343743494084684,-0.43213223328560807,1949.2661564797943,1844.4626587003588,1902.1461847433836,1935.1451151208641
2023-06-09,1824.9666757677637,2.999999999999992,11.8,28.15,0.0,4,0,0,2,0,4,7,8,0,0,1.8499999999999999,67.08333333333333,5.041666666666667,3.625,424.4166666666667,29.099999999999998,0.9510565162951536,-0.30901699437494734,0.15430882066428114,0.9880226656636976,1.0,6.123233995736766e-17,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,-0.6488251126576491,0.0698255907777656,1875.6227687093049,1850.6946807021482,1898.8307577391238,1931.1769586934267
2023-06-10,1304.2532888737314,0.2,5.6000000000000005,18.18,0.0,7,0,0,4,5,1,13,2,0,1,2.2958333333333334,68.125,7.416666666666667,5.166666666666667,207.45833333333334,27.641666666666666,0.8660254037844387,-0.4999999999999998,0.1712931441814776,0.9852201067560605,1.0,6.123233995736766e-17,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.007015498569114126,-0.11809458788939657,1824.9666757677637,1845.5490797152713,1889.597747492704,1924.096273165049
2023-06-11,1284.4001261077635,44.466666666666654,6.4,21.1,0.0,0,0,0,0,2,4,13,4,3,3,2.1625,78.08333333333333,6.833333333333333,5.916666666666667,343.7083333333333,24.75,0.7431448254773945,-0.6691306063588579,0.18822670984324422,0.9821256058680006,1.0,6.123233995736766e-17,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-0.11661612099377282,0.21958005681867543,1304.2532888737314,1737.2899215469633,1816.4296901653324,1882.7734075456274
2023-06-12,1881.83478528468,0.0,6.7,19.9,0.0,12,0,0,4,3,0,7,0,0,0,1.7625,70.875,5.708333333333333,3.25,226.45833333333334,24.729166666666668,0.5877852522924732,-0.8090169943749473,0.2051044998686192,0.9787400799669154,1.0,6.123233995736766e-17,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.5500262127053746,0.0727400592755049,1284.4001261077635,1646.7119624591235,1749.925994658136,1842.8818554497695
2023-06-13,1969.7794477161801,0.0,9.9,25.43,0.0,0,0,0,7,2,0,10,0,0,0,2.3000000000000003,68.66666666666667,4.416666666666667,3.8333333333333335,95.91666666666667,28.120833333333334,0.4067366430758,-0.9135454576426009,0.2219215130041655,0.9750645322571948,1.0,6.123233995736766e-17,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.7532635174794237,0.05150401810097146,1881.83478528468,1693.7365270242349,1766.414593486454,1845.4787174387636
2023-06-14,1919.1909395012603,50.86666666666666,4.2,13.120000000000001,0.0,0,0,0,3,0,0,13,1,4,0,1.2458333333333333,78.375,4.875,3.8333333333333335,409.75,22.462500000000002,0.20791169081775931,-0.9781476007338057,0.2386727660059501,0.9711000518829506,1.0,6.123233995736766e-17,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.2307235457602562,0.24965889503083002,1969.7794477161801,1748.9451111626242,1791.8352002651695,1853.7654327905916
2023-06-15,2055.8647574191496,0.0,8.8,25.05,0.0,7,0,0,4,0,0,2,0,7,0,2.1,72.95833333333333,4.083333333333333,2.625,157.54166666666666,25.72083333333333,1.2246467991473532e-16,-1.0,0.255353295116187,0.9668478136052775,1.0,6.123233995736766e-17,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-0.4660083584034714,0.2396376311116184,1919.1909395012603,1782.9942768303517,1807.754667669681,1858.1271332379695
2023-06-16,2017.5352252765556,0.0,12.5,29.89,0.0,5,0,0,0,0,0,0,0,0,0,2.1708333333333334,65.29166666666667,1.4166666666666667,0.16666666666666666,395.0,27.47083333333333,-0.20791169081775907,-0.9781476007338057,0.2719581575341055,0.9623090774541486,1.0,6.123233995736766e-17,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,-0.8183345154170882,-0.11588651161798573,2055.8647574191496,1837.5683729481116,1838.7684288883647,1871.3096415167147
2023-06-17,1376.5188542499995,0.0,10.8,27.4,0.0,8,0,3,0,0,0,0,0,0,0,2.091666666666667,57.458333333333336,4.083333333333333,0.7916666666666666,0.0,27.991666666666664,-0.4067366430757999,-0.9135454576426011,0.288482432880609,0.9574851883550393,1.0,6.123233995736766e-17,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,-0.7423197623185084,0.04682325128726641,2017.5352252765556,1873.5617434138005,1861.1142784368885,1881.0580137673708
2023-06-18,1545.0821188329164,0.0,12.3,28.79,0.0,9,0,2,0,0,0,0,0,0,0,2.1625,60.708333333333336,4.291666666666667,0.7916666666666666,0.0,31.3,-0.587785252292473,-0.8090169943749476,0.304921224656289,0.9523775757303975,1.0,6.123233995736766e-17,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-0.7143806803744172,-0.04548516754997058,1376.5188542499995,1774.1531655810404,1800.5398504135276,1847.4220697995459
2023-06-19,2508.0743216902765,0.0,11.0,25.29,0.0,10,0,0,0,0,0,0,0,0,0,2.1458333333333335,58.583333333333336,3.375,0.20833333333333334,0.0,33.09166666666667,-0.743144825477394,-0.6691306063588586,0.3212696616923644,0.9469877530760753,1.0,6.123233995736766e-17,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.24455382108764212,-0.01418120052169858,1545.0821188329164,1728.3389562314158,1768.607633965951,1827.2660730684372
2023-06-20,2044.9969326388884,0.9,0.0,5.89,0.0,6,0,6,7,5,1,6,1,0,0,1.9416666666666667,62.583333333333336,8.75,4.083333333333333,86.5,24.21666666666667,-0.8660254037844384,-0.5000000000000004,0.3375228995941133,0.9413173175128472,1.0,6.123233995736766e-17,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5401166847748771,0.05055045531821203,2508.0743216902765,1884.2860293231881,1861.0409699314919,1872.6532896432268
2023-06-21,2023.074730833333,30.733333333333327,0.0,4.79,0.0,0,0,0,0,3,16,4,17,0,0,2.220833333333333,92.79166666666667,9.5,8.0,916.0,21.675,-0.9510565162951535,-0.30901699437494756,0.35367612217637157,0.9353679493131483,1.0,6.123233995736766e-17,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.19449632365227365,0.5520796580500085,2044.9969326388884,1916.4282099863285,1884.0354652699166,1884.1428658429377
2023-06-22,1898.5662730555555,0.0,6.9,21.48,0.0,0,0,0,0,0,0,19,0,1,0,2.3375,76.83333333333333,6.541666666666667,6.083333333333333,98.45833333333333,25.09166666666667,-0.9945218953682732,-0.10452846326765423,0.3697245428906732,0.9291414114031743,1.0,6.123233995736766e-17,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-0.7751308060736991,-0.06675150542432094,2023.074730833333,1937.7575141557295,1901.4153734653437,1893.4049901756307
2023-06-23,1887.0294689027776,0.0,5.3,18.74,0.0,0,0,0,0,0,0,8,8,0,0,1.4708333333333332,76.5,5.208333333333333,5.0,573.5416666666666,26.066666666666666,-0.9945218953682732,0.10452846326765387,0.3856634062436071,0.9226395488404876,1.0,6.123233995736766e-17,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.23031070838611942,0.2471252043359947,1898.5662730555555,1929.9192659356947,1901.0592359141203,1893.749075700959
2023-06-24,1482.0821282180414,0.0,9.7,21.93,0.0,1,0,0,0,0,0,9,0,0,0,2.0416666666666665,70.375,1.875,1.75,89.33333333333333,27.65416666666667,-0.9510565162951536,0.30901699437494723,0.401487989205973,0.915864288267287,1.0,6.123233995736766e-17,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,-0.05666027197155821,0.15302960395521029,1887.0294689027776,1921.3413065291115,1899.3055150377027,1893.3011019144135
2023-06-25,1563.064341320722,0.0,8.7,23.62,0.0,7,0,0,0,0,0,13,0,0,0,2.0124999999999997,66.16666666666667,5.0,2.7083333333333335,147.25,30.233333333333334,-0.8660254037844387,0.5000000000000001,0.4171936026123168,0.9088176373395029,1.0,6.123233995736766e-17,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.2896766696908478,-0.17458652837135866,1482.0821282180414,1833.4894708668976,1847.1525916852452,1865.8865036679886
2023-06-26,2129.4749519444445,33.89999999999999,0.0,3.3899999999999997,0.0,1,0,0,0,13,8,14,8,0,0,3.029166666666667,85.375,9.916666666666666,7.541666666666667,382.5416666666667,23.90833333333333,-0.743144825477394,0.6691306063588586,0.43277559255043113,0.901501684131884,1.0,6.123233995736766e-17,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.31185311702427293,-0.5677335646971631,1563.064341320722,1779.4044449576627,1811.6415603896799,1845.6983595115041
2023-06-27,2368.9449065277777,4.2666666666666595,6.8,20.95,0.0,0,0,0,1,2,1,18,1,0,0,3.1999999999999997,74.625,6.833333333333333,6.458333333333333,157.875,27.4375,-0.5877852522924734,0.8090169943749473,0.4482293417404106,0.893918596519257,1.0,6.123233995736766e-17,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.703289146201474,-0.5621065549515047,2129.4749519444445,1849.418546355019,1851.3707343340257,1864.6167990070335
2023-06-28,2338.5357394444445,0.0,3.8,18.56,0.0,0,0,2,0,0,0,18,1,1,0,2.3833333333333333,77.08333333333333,7.916666666666667,7.333333333333333,635.375,28.183333333333334,-0.40673664307580015,0.9135454576426009,0.4635502709028509,0.886070621534138,1.0,6.123233995736766e-17,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.6219456965027471,-0.683960737193093,2368.9449065277777,1953.3238183895708,1916.0675058582447,1898.2386728417498
2023-06-29,2175.9972404166665,63.800000000000004,0.0,2.31,0.0,0,0,0,0,1,14,1,20,0,0,2.1708333333333334,94.08333333333333,9.75,8.916666666666666,1509.25,24.65833333333333,-0.20791169081775987,0.9781476007338056,0.4787338401157884,0.8779600847008883,1.0,6.123233995736766e-17,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.03571613611901311,-0.7797435836340699,2338.5357394444445,2030.3662026005454,1968.8760350565199,1927.5918106152628
2023-06-30,2136.839354166667,1.0999999999999976,1.4,10.02,0.0,0,0,0,0,1,1,6,12,0,0,1.9041666666666668,90.08333333333333,7.625,7.25,1253.375,26.400000000000002,-2.4492935982947064e-16,1.0,0.4937755501599772,0.869589389346611,1.0,6.123233995736766e-17,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,-0.5355952040668642,-0.20204169781650985,2175.9972404166665,2059.49241016377,1994.7661857265384,1944.152172602023
2023-07-01,1621.4077154805552,0.0,12.4,29.21,0.0,0,0,0,0,0,0,11,1,0,0,1.925,76.875,2.2083333333333335,2.2083333333333335,387.4583333333333,30.625,0.20129852008866003,0.9795299412524945,0.017213356155834685,0.9998518392091164,0.9659258262890683,-0.25881904510252085,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,-0.7383288187056442,-0.1708282527993573,2136.839354166667,2074.9617989643493,2012.5253317815545,1956.9979847063325
2023-07-02,1655.3216723365276,0.0,4.3,19.16,0.0,13,0,0,2,0,0,6,0,0,0,2.0166666666666666,79.29166666666667,6.166666666666667,2.375,211.70833333333334,28.645833333333332,0.39435585511331855,0.9189578116202307,0.03442161162274574,0.9994074007397048,0.9659258262890683,-0.25881904510252085,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-0.9302203765382792,0.1242572340003445,1621.4077154805552,1984.2509822675904,1963.6356297439295,1934.6253000912807
2023-07-03,2530.3829483333334,0.0,8.8,25.34,0.0,8,0,0,0,0,0,8,0,0,0,1.7208333333333332,72.58333333333333,4.333333333333333,1.625,18.875,31.150000000000002,0.5712682150947923,0.8207634412072763,0.051619667223253764,0.998666816288476,0.9659258262890683,-0.25881904510252085,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.0039282565918011035,0.08609792919761551,1655.3216723365276,1918.465120281378,1925.0963850680043,1916.0050582409638
2023-07-04,2407.1899654166664,61.0,0.0,6.08,0.0,4,0,0,0,9,8,9,9,0,0,2.25,85.125,9.458333333333334,5.666666666666667,946.0833333333334,26.616666666666664,0.7247927872291199,0.6889669190756867,0.06880242680231986,0.9976303053065857,0.9659258262890683,-0.25881904510252085,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2776164358310603,-0.3439666109749089,2530.3829483333334,2040.848685891769,2000.7572054761706,1956.9635842471216
